id,name,RechtsformM,RechtsformD,SitzD,SitzMStadt,SitzMLand,Gruendungsjahr,Typ
2030 WRG,2030 Water Resources Group,99,99,NA,Washington DC,USA,99,6
24 7 GATEWAY LL,Gateway Center,99,99,NA,Atlanta,USA,5,3
5by20,5by20,99,99,NA,NA,NA,99,7
Academy of Nutrition and Dietetics,Academy of Nutrition and Dietetics,99,99,NA,Cleveland,USA,2,3
After School All Stars,After School All Stars,99,99,NA,Los Angeles,USA,5,3
Agnes Scott College,Agnes Scott College,99,99,NA,Decatur,USA,1,7
AixEuregio,AixEuregio,99,99,NA,NA,NA,5,5
Akshaya Patra,Akshaya Patra,99,99,NA,Bangalore,Indien,5,3
Alicia Foundation,Alicia Foundation,99,99,NA,Barcelona,Spanien,5,4
Alliance for Water Stewardship,Alliance for Water Stewardship,99,99,NA,North Berwick,Schottland,99,6
Alliance for Youth,Alliance for Youth,99,99,NA,NA,NA,99,6
American Beverage Association,American Beverage Association,99,99,NA,NA,USA,2,3
Red Cross,Red Cross,99,99,NA,Washington DC,USA,1,7
Anacostia Watershed Society,Anacostia Watershed Society,99,99,NA,Bladensburg,USA,4,4
Argentine Society of Nutrition,Argentine Society of Nutrition,99,99,NA,Buenos Aires,Argentinien,99,6
Asia Society Institute,Asia Society Institute,99,99,NA,Washington DC,USA,99,7
Atlanta Ballet Incorporated,Atlanta Ballet Incorporated,99,99,NA,Atlanta,USA,2,7
Atlanta Beltline Partnership,Atlanta Beltline Partnership,99,99,NA,Atlanta,USA,99,7
Atlanta Botanical Garden,Atlanta Botanical Garden,99,99,NA,Atlanta,USA,4,7
Atlanta Police Foundation,Atlanta Police Foundation,99,99,NA,Atlanta,USA,5,7
Atlanta Womens Foundation,Atlanta Womens Foundation,99,99,NA,Atlanta,USA,4,6
Back on My Feet,Back on My Feet,99,99,NA,Philadelphia,USA,5,7
Bal Raksha Bharat,Bal Raksha Bharat,99,99,NA,Delhi,Indien,99,3
BAUM,BAUM,99,99,Hamburg,NA,NA,4,5
Black Soy Bean Bango,Black Soy Bean Bango,99,99,NA,NA,Indonesien,5,4
Boys and Girls Club of Metro Atlanta,Boys and Girls Atlanta,99,99,NA,Atlanta,USA,99,7
Breakfasts for Better Days,Breakfasts for Better Days,99,99,NA,NA,NA,5,7
Bremer Suppenengel,Bremer Suppenengel,99,99,Bremen,NA,NA,5,5
British Dietetic Association,British Dietetic Association,99,99,NA,Birmingham,Großbritannien,3,6
brotZeit,brotZeit,99,99,NA,NA,NA,5,5
BSDC,BSDC,99,99,NA,NA,NA,5,6
BSLL,BSLL,99,99,NA,NA,NA,99,7
BSR,Business for Social Responsibility,99,99,NA,San Francisco,USA,5,6
Bundesentwicklungsagentur GIZ,GIZ,99,99,Bonn,NA,Deutschland,5,6
Bundesverband der deutschen Sueßwarenindustrie,Bundesverband Sueßwarenindustrie,99,99,Bonn,NA,NA,4,5
Bunge,Bunge,99,99,NA,White Plains,USA,1,7
CARE,CARE,99,99,NA,Genf,Schweiz,3,3
CECP,CEPC,99,99,NA,New York,USA,5,6
Ceres,Ceres,99,99,NA,Boston,USA,99,4
Charities Aid Foundation,Charities Aid Foundation,99,99,NA,Kent,USA,4,3
Childrens Healthcare of Atlanta,Childrens Healthcare of Atlanta,99,99,NA,Atlanta,USA,99,7
China Womens Development Foundation,China Womens Development,99,99,NA,Beijing,China,4,4
Clark Atlanta University,Clark Atlanta University,99,99,NA,Atlanta,USA,99,7
Clayton State University Foundation,Clayton State University,99,99,NA,Clayton,USA,99,7
Clean Power Plan,Clean Power Plan,99,99,NA,Washington DC,USA,5,7
Clinton Foundation,Bill Hillary and Chelsea Clinton,99,99,NA,New York,USA,99,7
CocaCola,CocaCola Company,2,2,Berlin,Atlanta,USA,5,1
Cocoa Life,Cocoa Life,99,99,NA,NA,USA,5,4
Comic Relief,Comic Relief,99,99,NA,London,Großbritannien,4,3
Conmexico,Conmexico,99,99,NA,Ciudad de Mexico,Mexiko,99,6
CYDF,China Youth Development,99,99,NA,Beijing,China,4,3
Danone,Danone,1,2,Haar ,Paris,Frankreich,2,1
Danone Communities,Danone Communities,1,99,NA,Paris,Frankreich,5,7
Danone Ecosysteme,Danone Ecosysteme Fund,99,99,NA,Paris,Frankreich,5,7
Deutscher Aromenverband,Deutscher Aromenverband,99,99,NA,Berlin,Deutschland,2,6
Diaetverband,Diaetverband,99,99,NA,Bonn,Deutschland,4,6
Dietitans Association of Australia,Dietitans Association of Australia,99,99,NA,NA,Australien,99,6
EARTH University Foundation,EARTH University,99,99,NA,Atlanta,USA,4,7
ekip,ekip,99,99,Berlin,NA,NA,5,6
Ekocenter,Ekocenter,99,99,NA,NA,NA,5,7
Ellen MacArthur Foundation,Ellen MacArthur Foundation,99,99,NA,Cowes,Großbritannien,5,4
Ellis Island Foundation,Ellis Island Foundation,99,99,NA,New York,USA,99,6
Elternschule Muemmelmannsberg,Elternschule Muemmelmannsberg,99,99,NA,Hamburg,Deutschland,5,7
Emergency Assistance Foundation,Emergency Assistance Foundation,99,99,NA,NA,NA,99,7
ENGINE,ENGINE,99,99,NA,NA,NA,5,7
ENLP,ENLIP,99,99,NA,Luxemburg,Luxemburg,5,6
Ethical Tea Partnership,Ethical Tea Partnership,99,99,NA,London,England,5,3
European Food Banks Federation,European Food Banks,99,99,NA,Brüssel,Belgien,5,6
Fair Wage Network,Fair Wage Network,99,99,NA,Genf,Schweiz,5,7
FEE,FEE,99,99,NA,Kopenhagen,Daenemark,4,4
Feeding America,Feeding America,99,99,NA,Chicago,USA,4,3
Food for Good,Food for Good,99,99,NA,Dallas,USA,5,3
Food Industry Asia,Food Industry Asia,99,99,NA,Singapur,Singapur,5,6
Food Research and Action Center,Food Research and Action Center,99,99,NA,Washington DC,USA,5,6
FoodDrinkEurope,FoodDrinkEurope,99,99,NA,Bruessel,Belgien,4,6
Football Federation Australia,Football Federation Australia,99,99,NA,Sydney,Australien,4,3
Forum Zahn und Mundgesundheit,Forum Zahn und Mundgesundheit,99,99,Berlin,NA,NA,5,6
Franzoesische Regierung,Franzoesische Regierung,99,99,NA,Paris,Frankreich,1,7
Franzoesisches Rotes Kreuz,Franzoesisches Rotes Kreuz,99,99,NA,Paris,Frankreich,1,7
Fundacion cimientos,Fundacion cimientos,99,99,NA,Buenos Aires,Argentinien,99,7
Future Farmers of America,Future Farmers of America,99,99,NA,Indianapolis,USA,5,7
Gaerten fuer Kinder,Gaerten fuer Kinder,99,99,NA,Hamburg,Deutschland,5,5
General Mills Foundation,General Mills Foundation,99,99,NA,Golden Valley,USA,5,3
GeneralMills,General Mills,1,2,Hamburg ,Golden Valley,USA,1,1
GENYOUth,GENYOUth,99,99,NA,New York,USA,99,3
Georgia State University Foundation,Georgia State University,99,99,NA,Atlanta,USA,99,7
Global Alliance of Improved Nutrition,Global Alliance of Improved Nutrition,99,99,NA,Genf,Schweiz,5,5
Global Impact,Global Impact,99,99,NA,Alexandria,USA,4,3
Global Nature Fund,Global Nature Fund,99,99,NA,Radolfzell,Deutschland,5,4
Global Reporting Initiative,Global Reporting Initiative,99,99,NA,Amsterdam,Niederlande,5,6
GMA,Grocery Manufactures Association,99,99,NA,Washington DC,USA,2,6
Grains for Health Foundation,Grains for Health Foundation,99,99,NA,St Louis Park,USA,5,3
Hamburger Tafel,Hamburger Tafel,99,99,NA,Hamburg,Deutschland,5,6
HandsOn Twin Cities,HandsOn Twin Cities,99,99,NA,Saint Paul,USA,5,3
Healthgrain Forum,Healthgrain Forum,99,99,NA,Espoo ,Finnland,5,6
Helen Keller International,Helen Keller International,99,99,NA,New York,USA,2,3
